date,white,white elo,black,black elo,resultat,ECO,perf white,perf black,moves,opening,variation,year,nb
2021-02-26,guntarsaaa,2470,yacine63,2326,1-0,A05,4.0,-4.0, g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 b1c3 d7d5 d2d3 c7c5 a2a3 b8c6 a1b1 a7a5 a3a4 e7e5 c1g5 c8e6 f3d2 h7h6 g5f6 g7f6 e2e4 d5d4 c3d5 f6g7 c2c4 f7f5 e4f5 e6f5 d2e4 b7b6 f2f4 e5f4 f1f4 c6e5 h2h3 h6h5 g3g4 h5g4 h3g4 f5e6 f4f8 d8f8 d1e2 e6g4 e2d2 e5f3 g2f3 f8f3 b1f1 f3h3 d2g5 h3h5 d5f6,Irregular,ouvertures de flanc diverses,2021,1
2021-02-26,yacine63,2332,Dan-le-blair,2300,0-1,A14,-6.0,7.0, c2c4 g8f6 g2g3 e7e6 f1g2 d7d5 g1f3 f8e7 e1g1 e8g8 d2d4 d5c4 d1c2 a7a6 c2c4 b7b5 c4c2 c8b7 c1d2 b8d7 b2b4 d7b6 a2a3 b6c4 b1c3 c7c6 e2e4 a6a5 e4e5 f6d5 c3d5 c6d5 c2b3 a5a4 b3d3 c4d2 d3d2 a8c8 a1c1 d8b6 h2h4 c8c4 c1c4 d5c4 h4h5 h7h6 d2c3 f8d8 f1d1 d8d7 g2h3 b7d5 f3e1 e7d8 e1g2 d5b7 g2e3 b6c7 f2f4 b7e4 e3g4 c7a7 g4f2 e4a8 f4f5 a8d5 c3e3 d8b6 f5f6 d5a8 e3f4 b6d4 d1f1 a7b7 g1h2 b7f3 f4f3 a8f3 f2g4 f3g4 h3g4 d4e5 g4f3 d7d6 f6g7 g8g7 f1c1 e5b2 c1f1 b2a3,English Opening,English,2021,1
2021-02-26,yacine63,2325,Edik_4,2396,1-0,A20,7.0,-7.0, c2c4 e7e5 g2g3 g7g6 b1c3 f8g7 f1g2 g8f6 e2e4 e8g8 g1e2 d7d6 e1g1 c8e6 d2d3 d8d7 c1g5 e6h3 g5f6 g7f6 c3d5 f6d8 d1d2 h3g2 g1g2 c7c6 d5e3 b8a6 a2a3 d8b6 b2b4 a6c7 f2f4 f7f6 f4f5 g6g5 h2h4 h7h6 e3g4 d7g7 f1h1 h6h5 h4g5 h5g4 g5g6 c7e6 f5e6 g7g6 h1h6 g6g7 a1h1 a8e8 c4c5 d6c5 d2a2 e8e7 e2c3 c5b4 a3b4 f6f5 a2d2 f5f4 g3f4 f8f4 c3d1 g7g5 h1h5 f4f2 d1f2 g5d2 h6h8 g8g7 h5h7 g7f6 h7h6 f6g5 h6h5 g5f4 h5f5 f4e3 g2g3 d2e1 h8g8 e1g1 g3h4 e7h7 h4g5 g1h2 f2g4 e3d3 g4h2 h7h2 e6e7 b6e3 g5f6 h2h6 f6f7 h6h7 g8g7 h7h8 f7e6 h8e8 f5f8 e8e7 g7e7 d3e4 e7b7 e3d2 f8f5 d2b4 b7b4,English Opening,English,2021,1
2021-02-26,hg1355,2184,yacine63,2321,0-1,C00,-4.0,4.0, e2e4 e7e6 g1f3 d7d5 e4d5 e6d5 d2d4 f8d6 c2c4 d5c4 b1c3 g8f6 f1c4 e8g8 e1g1 c7c6 c1g5 c8g4 h2h3 g4h5 c3e4 d6e7 e4g3 h5f3 d1f3 d8d4 f3b3 d4c5 a1c1 c5g5 b3b7 b8d7 b7c6 d7e5 c6b7 e7c5 g3e4 f6e4 b7e4 e5c4 c1c4 a8e8 e4f3 c5b6 c4g4 g5e5 b2b4 e5e2 f3c3 g7g6 a2a4 e8d8 g4f4 d8d1 f1d1 e2d1 g1h2 d1d6 g2g3 b6c7 f4c4 c7b6 c4f4 f8e8 a4a5 b6c7 f4f6 d6e5 c3f3 e8e7 h3h4 g8g7 f6f4 e5b2 f4c4 c7e5 h2g2 e5f6 c4c6 e7d7 b4b5 d7d2 b5b6 f6d4 g2h3 d2f2 c6c7 f2f3 b6a7 b2f2,French,French e4 e6,2021,1
2021-02-26,yacine63,2314,Rey_Yan,2382,1-0,D11,7.0,-7.0, c2c4 c7c6 d2d4 d7d5 g1f3 g8f6 e2e3 d8b6 b1c3 c8g4 d1b3 g4f3 g2f3 e7e6 f3f4 b8d7 c4c5 b6b3 a2b3 a7a6 b3b4 a8c8 c1d2 h7h6 h1g1 g7g6 f1d3 f8e7 f2f3 e8d8 e3e4 d8c7 b4b5 a6b5 b2b4 c8a8 e1e2 a8a1 g1a1 f6h5 f4f5 g6f5 e4f5 e7g5 f5e6 f7e6 a1g1 g5d2 e2d2 h8f8 d3e2 f8f6 c3d1 e6e5 d4e5 d7e5 d2e3 h5f4 g1g7 c7b8 g7g8 b8a7 d1c3 f4e2 c3e2 f6f3 e3d4 f3f2 e2g3 e5f3 d4e3 f2h2 e3f3 h2b2 g8g4 b7b6 g4g7 a7a6 c5b6 a6b6 g7g6 b2b4 g6h6 b4c4 g3f5 b5b4 f5e3 c4c3 f3e2 b6b5 e2d2 d5d4 e3f5 c6c5 f5d6 b5a4 d6e4 c3c4 h6h5 b4b3 e4c5 a4a3 c5d3 b3b2 h5a5 a3b3 a5b5 b3a3 b5a5 a3b3 a5b5 b3a3 b5b2 c4c3 b2b8 a3a2 b8d8 c3c4 d3e5 c4c5 e5f3 c5c4 f3d4 a2b2 d8b8 b2a3 d2d3 c4c7,Queen's Gambit,Slave,2021,1
2021-02-26,pfma22,2307,yacine63,2308,0-1,C02,-6.0,6.0, e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 d8b6 g1f3 b8c6 f1d3 c5d4 c3d4 c8d7 b1d2 c6d4 e1g1 d4f3 d2f3 d7b5 c1e3 f8c5 e3c5 b6c5 a1c1 c5b6 d3b5 b6b5 c1c7 g8e7 f3d4 b5b6 c7c3 e8g8 c3b3 b6a6 b3h3 a6a2 d1h5 h7h6 h3g3 a2b2 h5h6 e7g6 h6e3 f8e8 f2f4 a8c8 g3g5 c8c4,French,Advance variation,2021,1
2021-02-26,yacine63,2301,RamzanMathan,2359,1-0,D30,7.0,-6.0, d2d4 d7d5 c2c4 e7e6 g1f3 h7h6 g2g3 g8f6 f1g2 c7c5 e1g1 b8c6 c4d5 e6d5 b1c3 f8d6 d4c5 d6c5 c1f4 e8g8 c3a4 c5d6 f4e3 c8g4 a1c1 a8c8 e3c5 f8e8 h2h3 g4e6 c5d6 d8d6 a4c5 b7b6 c5b3 f6e4 b3d4 c6d4 f3d4 e4f6 d1d3 c8c5 a2a3 e8c8 d4b3 c5c4 c1c4 c8c4 f1d1 d6e5 b3d4 f6e4 d4e6 f7e6 b2b3 c4c3 d3b5 c3c2 b5e8 g8h7 f2f4 e5d6 g2e4,Queen's Gambit,QGA,2021,1
2021-02-25,Hadi_awada,2228,yacine63,2297,0-1,D00,-5.0,4.0, d2d4 d7d5 c2c3 e7e6 a2a4 c7c5 e2e3 b8c6 f2f4 g8f6 b1d2 f8d6 f1d3 e8g8 g1f3 b7b6 e1g1 c8b7 f3e5 a8c8 d1f3 c5d4 e3d4 f6d7 f3h5 f7f5 d2f3 d7f6 h5h3 f6e4 f3g5 e4g5 f4g5 c6e5 d4e5 d6e5 c1e3 d5d4 c3d4 e5d4 a1e1 d4e3 h3e3 d8d5 e3e6 d5e6 e1e6 f8d8 d3f5 d8d2 g5g6 d2g2 g1h1 g2g6,Queen's Gambit,1.d4 d5,2021,1
2021-02-25,milanmiha77,2228,yacine63,2304,1-0,D32,7.0,-7.0, d2d4 d7d5 c2c4 e7e6 g1f3 c7c5 c4d5 e6d5 b1c3 b8c6 d4c5 d5d4 c3a4 f8c5 a4c5 d8a5 d1d2 a5c5 a2a3 c8g4 b2b4 c5d5 c1b2 g4f3 g2f3 g8f6 e2e4 d5h5 f1g2 a8d8 f3f4 e8g8 e4e5 f8e8 b4b5 c6e5 f4e5 e8e5 e1f1 d8e8 b2d4 e5e2 d2d1 h5b5 f1g1 h7h5 h2h3 h5h4 d4e3 b5b2 a1b1 b2a2 b1a1 a2c4 a1c1 c4a6 g2f1 f6e4 f1e2 a6g6 e2g4 f7f5 d1d5 g8h8 d5f5 g6d6 g1g2 e8f8 f5h5 h8g8 h1d1 d6f6 h5d5 g8h8 d5e4,QGD,Tarrasch,2021,1
2021-02-25,yacine63,2298,krystian2000,2249,1-0,A15,6.0,-5.0, c2c4 g8f6 g2g3 c7c6 f1g2 d7d5 g1f3 c8f5 e1g1 e7e6 d2d3 b8d7 f3h4 f5g4 b1c3 f8d6 d1b3 d8b6 c1e3 b6b3 a2b3 a7a6 h2h3 g4h5 g3g4 h5g6 h4g6 h7g6 f1c1 e8g8 c4d5 e6d5 c3a4 f8e8 c1c2 e8e7 a1c1 a8e8 g2f1 e7e6 e3d4 d6e5 d4e5 e6e5 b3b4 e8e7 a4c5 d7c5 b4c5 f6e8 c2c3 e8c7 e2e3 c7b5 c3b3 d5d4 e3e4 f7f5 f2f4 e5e6 e4e5 g8f7 g1f2 g6g5 g4f5 e6h6 f4g5 h6h5 e5e6 f7f8 f2f3 h5g5 f3f4 g5h5 f1g2 h5h4 f4e5 h4h5 g2e4 f8e8 c1f1 e8d8 f1f3 d8c7 e5f4 c7b8 f3g3 b5c7 b3b4 c7d5 e4d5 c6d5 b4d4 e7c7 d4d5,English Opening,English,2021,1
